Brand_Product_Size,IGA Price,WOW Price,IGA Category,WOW Category,WOW Specials
Cadbury Dairy Milk Crunchie 180g,5.0,3.5,Pantry,Pantry,Specials
Cadbury Dairy Milk With Oreo 162g,5.0,3.5,Pantry,Pantry,Specials
Cadbury Old Gold Dark Chocolate Peppermint 180g,5.0,4.5,Pantry,Pantry,Specials
Cadbury Dairy Milk Snack 180g,5.0,3.5,Pantry,Pantry,Specials
Cadbury Dairy Milk Turkish Delight 180g,5.0,3.5,Pantry,Pantry,Specials
Cadbury Dairy Milk Chocolate 180g,5.0,3.5,Pantry,Pantry,Specials
Cadbury Dream White Chocolate 180g,5.0,3.5,Pantry,Pantry,Specials
Snickers Chocolate Bar 50g,2.0,2.0,Pantry,Pantry,
Cadbury Dairy Milk Roast Almond 180g,5.0,3.5,Pantry,Pantry,Specials
Cadbury Old Gold Dark Chocolate Original 180g,5.0,4.5,Pantry,Pantry,Specials
Cadbury Dairy Milk Black Forest 180g,5.0,3.5,Pantry,Pantry,Specials
Cadbury Dairy Milk Hazelnut 180g,5.0,3.5,Pantry,Pantry,Specials
Mars Chocolate Bar 53g,2.0,2.0,Pantry,Pantry,
Pepsi Max Cans 10x375mL,13.85,12.4,Drinks,Drinks,
Cadbury Old Gold Dark Chocolate Roast Almond 180g,5.0,4.5,Pantry,Pantry,Specials
Nestle Smarties Sharepack 11 pack 140g,4.6,4.6,Pantry,Pantry,
Eclipse Peppermint Mints Sugar Free Large Tin 40g,3.35,3.0,Pantry,Pantry,
Maltesers Milk Chocolate Medium Party Share Bag 12 Piece 144g,5.0,3.0,Pantry,Pantry,Specials
Eclipse Spearmint Mints Sugar Free Large Tin 40g,3.35,3.0,Pantry,Pantry,
Eclipse Chewy Mints Spearmint Tin Spearmint 27g,1.65,1.2,Pantry,Pantry,Specials
Extra Spearmint Chewing Gum Sugar Free Bottle 64g,4.45,4.0,Pantry,Pantry,
Eclipse Chewy Mints Peppermint Tin Peppermint 27g,1.65,1.2,Pantry,Pantry,Specials
Mars Chocolate Medium Party Share Bag 12 Piece 216g,5.0,3.0,Pantry,Pantry,Specials
Twix Chocolate Medium Party Share Bag 12 Piece 174g,5.0,3.0,Pantry,Pantry,Specials
Wrigley's Extra White Peppermint Chewing Gum Sugar Free Bottle 64g,4.45,4.0,Pantry,Pantry,
Snickers Chocolate Medium Party Share Bag 12 Piece 216g,5.0,3.0,Pantry,Pantry,Specials
Mission Corn Chips Extreme Cheese 230g,3.45,3.1,Pantry,Pantry,
Pringles Original Salted Potato Chips 134g,4.45,3.0,Pantry,Pantry,Specials
Cc's Corn Chips Tasty Cheese 175g,3.9,3.5,Pantry,Pantry,
Cc's Corn Chips Nacho Cheese 175g,3.9,3.5,Pantry,Pantry,
Cc's Corn Chips Original 175g,3.9,3.5,Pantry,Pantry,
Mission Corn Chips Cheesy Nachos 230g,3.45,3.1,Pantry,Pantry,
Fantastic Rice Crackers Original 100g,2.0,1.5,Pantry,Pantry,Specials
Poppin Microwave Popcorn Butter Flavour 100g,1.95,1.75,Pantry,Pantry,
Wrigley's Extra Peppermint Chewing Gum Sugar Free 27g,2.2,1.8,Pantry,Pantry,Specials
Doritos Medium Salsa 300g,2.5,2.5,Pantry,Pantry,
Fantastic Rice Crackers Bbq 100g,2.0,1.5,Pantry,Pantry,Specials
Sakata Rice Crackers Seaweed 90g,2.0,2.0,Pantry,Pantry,
Allen's Anticol Throat Lozenge Vapour Action 10 pack,2.2,1.8,Pantry,Pantry,Specials
French Fries Original Chips 175g,3.9,3.5,Pantry,Pantry,
Arnott's Cruskits Original 125g,3.5,3.5,Pantry,Pantry,
Fisherman's Friend Mints Extra Strong 25g pack,2.55,1.8,Pantry,Pantry,Specials
Sakata Rice Crackers Plain 100g,2.0,2.0,Pantry,Pantry,
Arnott's Sesame Cracker Wheat 250g,4.45,3.0,Pantry,Pantry,Specials
Arnott's Sao Original 250g,3.2,3.2,Pantry,Pantry,
Nabisco Premium Crispbread Original 300g,3.35,3.0,Pantry,Pantry,
Real Foods Corn Thins Original 150g,2.2,1.0,Pantry,Pantry,Specials
Real Foods Corn Thins Multigrain 150g,2.2,1.0,Pantry,Pantry,Specials
Sunrice Rice Cakes Original Rice Cakes 150g,2.0,1.8,Pantry,Pantry,Specials
Fantastic Rice Crackers Seaweed 100g,2.0,1.5,Pantry,Pantry,Specials
Captain's Table Cracker Cracked Pepper 125g,1.8,1.8,Pantry,Pantry,
Fantastic Rice Crackers Cheese 100g,2.0,1.5,Pantry,Pantry,Specials
Arnott's Shapes Originals Barbecue 8 pack,4.45,3.0,Pantry,Pantry,Specials
Arnott's Biscuits Shortbread Cream 250g,3.0,2.0,Pantry,Pantry,Specials
Arnott's Tim Tam Chocolate Original 200g,3.65,4.0,Pantry,Pantry,
Arnott's Tiny Teddy Variety 15 pack,5.0,5.0,Pantry,Pantry,
Arnott's Venetians Fancy 200g,3.35,3.0,Pantry,Pantry,
Arnott's Salada Original 250g,3.2,3.2,Pantry,Pantry,
Arnott's Tim Tam Chewy Caramel 175g,3.65,4.0,Pantry,Pantry,
Streets Golden Gaytime Ice Cream Original 4 pack,9.45,8.5,Frozen,Frozen,
Peters Drumstick Ice Cream Boysenberry Swirl 4 pack,8.4,8.4,Frozen,Frozen,
Arnott's Vita-weat Cracker Regular 250g,3.3,3.3,Pantry,Pantry,
Paddle Pop Water Ice Cyclone 8 pack,7.8,7.0,Frozen,Frozen,
Arnott's Tim Tam Choc Double Coated 200g,3.65,4.0,Pantry,Pantry,
Connoisseur Ice Cream Caramel Honey Macadamia 1L tub,11.0,11.0,Frozen,Frozen,
Arnott's Tim Tam White 165g,3.65,4.0,Pantry,Pantry,
Arnott's Tim Tam Classic Dark 200g,3.65,4.0,Pantry,Pantry,
Arnott's Shapes Variety 15 pack,5.0,5.0,Pantry,Pantry,
Connoisseur Ice Cream Cafe Grande 1L tub,11.0,11.0,Frozen,Frozen,
Connoisseur Ice Cream Belgian Chocolate 1L tub,11.0,11.0,Frozen,Frozen,
Connoisseur Ice Cream Murray River Salted Caramel 1L tub,11.0,11.0,Frozen,Frozen,
