Brand_Product_Size,IGA Price,WOW Price,IGA Category,WOW Category,WOW Specials,Cheapest Seller
Vicks Chest Rub Vaporub 100g,8.9,12.25,Health & Beauty,Health & Beauty,,IGA
Swisspers Cotton Pads Make Up 80 pack,3.4,3.75,Health & Beauty,Health & Beauty,,IGA
Sunrice Brown Rice Calrose Medium Grain 1kg,3.2,3.5,Pantry,Pantry,,IGA
Sunrice White Rice Calrose Medium Grain 1kg,3.2,3.5,Pantry,Pantry,,IGA
Green's Pudding Chocolate Sponge 260g,2.3,2.8,Pantry,Pantry,,IGA
Morning Fresh Dishwashing Liquid Lemon Fresh 400mL,3.0,4.3,Household,Household,,IGA
Morning Fresh Dishwashing Liquid Original 400mL,3.0,4.3,Household,Household,,IGA
Huggies Drynites Girls Convenience 4-7 Years 10 pack,11.0,12.0,Baby,Baby,,IGA
Palmolive Gold Bar Soap Daily Deodorant Protection 90g x4 pack,2.5,2.85,Health & Beauty,Health & Beauty,,IGA
S-26 Alula Gold Toddler 1 Year + 900g,19.0,20.0,Baby,Baby,,IGA
Huggies Drynites Boys Convenience 4-7 Years 10 pack,11.0,12.0,Baby,Baby,,IGA
Cussons Imperial Leather Soap Bar Original 600g,3.9,4.2,Health & Beauty,Health & Beauty,,IGA
Aerogard Insect Repellent Tropical 150g,8.35,8.5,Household,Household,,IGA
Golden Circle Pineapple Pieces In Syrup 450g,3.6,3.75,Pantry,Pantry,,IGA
Golden Circle Pineapple Pieces In Natural Juice 440g,3.6,3.75,Pantry,Pantry,,IGA
Energizer Max Plus/ Advanced Aa Batteries 10 pack,10.0,16.0,Household,Household,,IGA
Bic Ball Point Pen Shine 4 Colour each,3.1,3.45,Household,Household,,IGA
Berocca Energy Vitamin Orange Effervescent Tablets 30 pack,16.0,17.3,Health & Beauty,Health & Beauty,,IGA
Ansell Handy Clean Gloves Disposable Multi-purpose 100 pack,12.2,18.0,Household,Household,,IGA
Queen's Slipper Favour Playing Cards Poker each,5.0,6.0,Household,Household,,IGA
Mildura Orange & Mango Fruit Drink 3L,4.55,4.95,Drinks,Drinks,,IGA
Mildura Orange & Passionfruit Fruit Drink 3L,4.55,4.95,Drinks,Drinks,,IGA
Red Bull Energy Drink 473mL,4.6,4.85,Drinks,Drinks,,IGA
Palmolive Naturals Replenishing Bar Soap Milk & Honey 90g x4 pack,2.5,2.85,Health & Beauty,Health & Beauty,,IGA
Palmolive Naturals Balanced & Mild Bar Soap Chamomile Extracts 90g x4 pack,2.5,2.85,Health & Beauty,Health & Beauty,,IGA
Mitchum Women's Roll On Powder Fresh Antiperspirant & Deodorant 50mL,3.2,3.8,Health & Beauty,Health & Beauty,,IGA
Aspro Clear Pain Relief Soluble Tablets 24 pack,4.5,5.0,Health & Beauty,Health & Beauty,,IGA
Scotch-brite Heavy Duty Scourer & Sponge 3 pack,3.65,4.5,Household,Household,,IGA
Bostik Blu-tack 75g ,2.8,4.0,Household,Household,,IGA
Multix Green Recycled Alfoil 30cm X 10m each,2.0,3.0,Household,Household,,IGA
Tandaco Dry Yeast 5 pack 35g,2.3,2.4,Pantry,Pantry,,IGA
John West Salmon Tempters Onion & Tomato 95g,2.55,2.7,Pantry,Pantry,,IGA
Gravox Gravy Liquid Lamb & Rosemary 250g,2.2,2.85,Pantry,Pantry,,IGA
Three Threes Pickles Mustard 520g,2.35,3.0,Pantry,Pantry,,IGA
Foster Clark's Custard Powder 350g,1.9,2.2,Pantry,Dairy Eggs & Fridge,,IGA
Green's Maple Flavoured Syrup 375g,2.9,3.2,Pantry,Pantry,,IGA
Sunrice Basmati Rice 1kg,2.5,4.6,Pantry,Pantry,,IGA
