Product Name,Price,Unit Price,Aldi Category,URL
Acrylic Super Chunky Yarn 3ply 280g ea,3.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/acrylic-super-chunky-yarn-3ply-280g/
Shiatsu Neck and Shoulder Massager ,49.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/shiatsu-neck-and-shoulder-massager-2/
Cordless Hair Remover ,39.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/cordless-hair-remover-4/
Air Compression Foot Massager ea,59.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/air-compression-foot-massager/
Shiatsu Back Massage Cushion ea,39.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/shiatsu-back-massage-cushion-3/
Shiatsu Neck Massage Cushion ea,39.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/shiatsu-neck-massage-cushion/
Hairbrush with Boar and Nylon Bristles ea,7.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/hairbrush-with-boar-and-nylon-bristles-3/
IPL Hair Remover ,69.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/ipl-hair-remover-1/
Professional Hair Dryer ea,24.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/professional-hair-dryer-1/
Sewing Scissors 5pc ea,12.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/sewing-scissors-5pc-4/
Kairplex 3-Step Hair Bonding Kit kit,19.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/kairplex-3-step-hair-bonding-kit-1/
Volume Hair Styler ,24.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/volume-hair-styler/
Haberdashery Assortment ea,99.0,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/haberdashery-assortment-4/
Schwarzkopf Leave In Treatment 150ml or Conditioning Spray 250ml ea,4.99,$3.32/$2.00 per 100ml,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/schwarzkopf-leave-in-treatment-150ml-or-conditioni/
Haircarebear 50pk/60pk ea,14.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/haircarebear-50pk60pk/
OGX Argan Oil of Morocco Shampoo or Conditioner 385ml ea,9.99,$2.59 per 100ml,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/ogx-argan-oil-of-morocco-shampoo-or-conditioner-38/
Hair Treatment with Argan Oil 100ml ,5.99,$5.99 per 100ml,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/hair-treatment-with-argan-oil-100ml-2/
Market Fare Broccoli 500g ,2.29,$4.58 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-broccoli-500g-1/
Market Fare Green Beans 1kg ,1.99,$1.99 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-green-beans-1kg/
Market Fare Baby Peas 1kg 1kg,2.99,$2.99 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-baby-peas-1kg/
OGX Coconut Milk Shampoo or Conditioner 385ml ea,9.99,$2.59 per 100ml,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/ogx-coconut-milk-shampoo-or-conditioner-385ml/
Handheld Massager ea,39.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/handheld-massager-6/
"Market Fare Peas, Carrots & Corn 1kg ",2.79,$2.79 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-peas-carrots-corn-1kg-2/
International Cuisine Beef Lasagne 2kg ,8.49,43c per 100g,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/international-cuisine-beef-lasagne-2kg/
International Cuisine Supreme Family Pizza 500g ,2.99,59c per 100g,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/international-cuisine-supreme-family-pizza-500g/
Market Fare Corn Kernels 1kg ,2.59,$2.59 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-corn-kernels-1kg-1/
Market Fare Stir Fry Vegetables 850g 850g,3.49,$4.11 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-stir-fry-vegetables-850g/
Orchard & Vine Blueberries 500g ,3.69,$7.38 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/orchard-vine-blueberries-500g-1/
Market Fare Corn Cobs 1kg ,see price in store,see price in store*,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-corn-cobs-1kg-1/
Expressi Stainless Steel Large Milk Frother ,49.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-stainless-steel-large-milk-frother/
Market Fare Cauliflower or Broccoli Bake 800g ea,4.99,$6.24 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-cauliflower-or-broccoli-bake-800g/
Kenny’s Frozen Dessert 475ml 475ml,4.99,$1.05 per 100ml,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/kennys-frozen-dessert-475ml/
Expressi Silver Coffee Capsule Machine ,79.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-silver-coffee-capsule-machine/
Expressi Matte Black Large Milk Frother ,49.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-matte-black-large-milk-frother/
Market Fare Garden Peas 1kg ,1.99,$1.99 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-garden-peas-1kg-3/
Expressi White Coffee Capsule Machine ,79.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-white-coffee-capsule-machine/
Expressi Intenzo #14 Coffee Capsule Value Pack 6 x 16pk 96pk,32.99,34c per capsule,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-intenzo-14-coffee-capsule-value-pack-6-x/
The Best Margherita Pizza Ever 365g ,4.99,$1.37 per 100g,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/the-best-margherita-pizza-ever-365g/
Expressi Vanilla Coffee Syrups 250ml ,2.99,$1.20 per 100ml,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-vanilla-coffee-syrups-250ml/
Market Fare Spinach 250g ,89.0,$3.56 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-spinach-250g-2/
Expressi Abruzzo #12 Coffee Capsule Value Pack 6 x 16pk 96pk,32.99,34c per capsule,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-abruzzo-12-coffee-capsule-value-pack-6-x/
Expressi Hazelnut Coffee Syrups 250ml ,2.99,$1.20 per 100ml,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-hazelnut-coffee-syrups-250ml/
Expressi Caramel Coffee Syrups 250ml ,2.99,$1.20 per 100ml,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-caramel-coffee-syrups-250ml/
Women’s Knit Pullover ea,12.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-knit-pullover/
Women’s Coatigan ea,29.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-coatigan-1/
Schwarzkopf Lacquer or Hairspray 500g ea,6.99,$1.40 per 100g,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/schwarzkopf-lacquer-or-hairspray-500g/
Women’s Cashmere Scarf ea,29.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-cashmere-scarf-1/
Market Fare Winter Vegetables 1kg ,2.79,$2.79 per kg,Frozen,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-winter-vegetables-1kg-2/
Women’s Stretch Denim Jeans or Jeggings ea,14.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-stretch-denim-jeans-or-jeggings-1/
Women’s Puffer Vest ea,19.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-puffer-vest-2/
Expressi Milano #10 Coffee Capsule Value Pack 6 x 16pk 96pk,32.99,34c per capsule,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-milano-10-coffee-capsule-value-pack-6-x-1/
Women’s Longline Cardigan ea,16.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-longline-cardigan-1/
Double Wall Thermo Glasses 2pk 2pk,8.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/double-wall-thermo-glasses-2pk-2/
Women’s Loungewear Set ea,16.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-loungewear-set-2/
Women’s Cowl Neck Pullover ea,19.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-cowl-neck-pullover/
Women’s Velour Tracksuit ea,24.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-velour-tracksuit-2/
Expressi Best Sellers Assortment Pack 10pk 10pk,6.99,70c per capsule,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/expressi-best-sellers-assortment-pack-10pk/
Women’s Wool Cashmere Blend Sweater ea,34.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-wool-cashmere-blend-sweater-1/
Women’s Long Sleeve Tee 2pk 2pk,8.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-long-sleeve-tee-2pk-2/
Women’s Three-quarter Sleeve Top ea,12.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-three-quarter-sleeve-top/
Women’s Leather Gloves pr,12.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-leather-gloves/
Women’s White & Navy Trim Casual Shoes pr,24.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-white-navy-trim-casual-shoes/
Women’s Wool Gloves pr,12.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-wool-gloves/
Women’s White Casual Shoes pr,24.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-white-casual-shoes/
Women’s Bootie Socks pr,6.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-bootie-socks-2/
Women’s Underwear 3pk 3pk,6.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-underwear-3pk-3/
Women’s Casual Leather Bag ea,39.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-casual-leather-bag/
Women’s Leather Belt ea,9.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-leather-belt/
Darrell Lea Rocklea Road Gift Box 250g ,6.99,$2.80 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/darrell-lea-rocklea-road-gift-box-250g/
McVities Dark Chocolate Digestive Thins 150g ,1.99,$1.33 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/mcvities-dark-chocolate-digestive-thins-150g/
McVities Milk Chocolate Digestive Thins 150g ,1.99,$1.33 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/mcvities-milk-chocolate-digestive-thins-150g/
Darrell Lea Dark Chocolate Ginger Gift Box 200g ,6.99,$3.50 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/darrell-lea-dark-chocolate-ginger-gift-box-200g/
Cherry Cranberry & Pistachio Nougat Limar Gift Tin 150g ,7.99,$5.33 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/cherry-cranberry-pistachio-nougat-limar-gift-tin-1/
Nescafé Cappuccino Coffee Sachets 30pk 30pk,11.99,40c per sachet,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/nescaf-cappuccino-coffee-sachets-30pk/
Darrell Lea Mum’s Bag 850g ea,15.99,$1.88 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/darrell-lea-mums-bag-850g/
Vanilla Almond Nougat Limar Gift Tin 150g ,7.99,$5.33 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/vanilla-almond-nougat-limar-gift-tin-150g/
Heller & Strauss Tutti Fruitti Jar 966g ,8.99,93c per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/heller-strauss-tutti-fruitti-jar-966g/
Fever Tree Indian Tonic 500ml ,3.99,$7.98 per litre,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/fever-tree-indian-tonic-500ml/
Gift Wrap 3M ea,1.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/gift-wrap-3m-6/
Cadbury Roses Gift Box 450g ,7.99,$1.78 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/cadbury-roses-gift-box-450g-6/
Fever Tree Mediterranean Tonic 500ml ,3.99,$7.98 per litre,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/fever-tree-mediterranean-tonic-500ml/
Nescafé Mocha Coffee Sachets 30pk 30pk,11.99,40c per sachet,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/nescaf-mocha-coffee-sachets-30pk/
Linen-Look Tablecloth ea,19.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/linen-look-tablecloth-4/
Premium Candle 230g ea,9.99,$4.34 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/premium-candle-230g-1/
Mother’s Day Charity Greeting Card ea,1.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/mothers-day-charity-greeting-card/
Bodum® Vacuum Travel Mug 350ml ea,14.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/bodum-vacuum-travel-mug-350ml/
Tea for One Gift Set ea,9.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/tea-for-one-gift-set-3/
Fever Tree Elderflower 500ml ,3.99,$7.98 per litre,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/fever-tree-elderflower-500ml/
Tapestry Cushion ea,14.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/tapestry-cushion-9/
Mars Celebrations Gift Box 320g ,5.99,$1.87 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/mars-celebrations-gift-box-320g/
Hand Towel 2 pack ea,6.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/hand-towel-2-pack-17/
Mother’s Day Luxe Puzzle Book ea,3.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/mothers-day-luxe-puzzle-book/
Bath Sheet 2 pack ea,24.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/bath-sheet-2-pack-10/
Berg Habanero Flavoured Pan Sized Bacon 200g 200g,3.49,$17.45 per kg,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/berg-habanero-flavoured-pan-sized-bacon-200g/
Women’s Flannel PJ Set ea,9.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-flannel-pj-set-1/
The Fishmonger Crispy Fish and Chips 400g 400g,6.99,$17.48 per kg,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/the-fishmonger-crispy-fish-and-chips-400g/
"Ready, Set…Cook! Beef & Cheese Meatballs 420g 420g",4.99,$11.88 per kg,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/ready-setcook-beef-cheese-meatballs-420g-3/
Drawer Liner 6pk or Scent Sachets 4pk ea,8.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/drawer-liner-6pk-or-scent-sachets-4pk-1/
Ocean Royale Trout Portions ,12.99,$25.98 per kg,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/ocean-royale-trout-portions/
Broad Oak Farms Turkey Mince 500g ,3.99,$7.98 per kg,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/broad-oak-farms-turkey-mince-500g-1/
Brooklea Stampede Chocolate Dairy Snack 140g ,99.0,71c per 100g,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/brooklea-stampede-chocolate-dairy-snack-140g/
Bruemar Pork Porterhouse with Honey & Rosemary Butter per kg 280g,5.99,,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/bruemar-pork-porterhouse-with-honey-rosemary-butte/
Ironbark Pork Fillet ,13.99,$13.99 per kg,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/ironbark-pork-fillet/
Reed Diffuser 145ml ea,9.99,69c per 10ml,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/reed-diffuser-145ml-8/
Belmont Biscuit Co. Palazzo Cookies 125g ea,1.49,$1.19 per 100g,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/belmont-biscuit-co-palazzo-cookies-125g/
Damora Satisfied Snacking Specialty Crackers 100g ea,2.99,$2.99 per 100g,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/damora-satisfied-snacking-specialty-crackers-100g/
Ingham’s Chicken and Corn Schnitzel 8pk/1kg 8pk,8.99,$8.99 per kg,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/inghams-chicken-and-corn-schnitzel-8pk1kg-2/
Belmont Biscuit Co. Skadoos 6pk/150g-162g ea,2.49,$1.66/$1.54 per 100g,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/belmont-biscuit-co-skadoos-6pk150g-162g-2/
Women’s Dressing Gown ea,19.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-dressing-gown-2/
Maltesers Gift Box 400g ,5.99,$1.50 per 100g,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/maltesers-gift-box-400g-3/
Hillcrest Gourmet Protein Bars 5pk/200g ea,3.49,$1.75 per 100g,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/hillcrest-gourmet-protein-bars-5pk200g-3/
Sprinters Snack Stack Chips 160g ea,1.49,93c per 100g,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/sprinters-snack-stack-chips-160g-1/
Women’s Premium Slippers pr,29.99,,Special Buys Wed 28 April,https://www.aldi.com.au/en/special-buys/special-buys-wed-28-april/wednesday-detail-wk17/ps/p/womens-premium-slippers/
Nescafé Blend 43 Instant Coffee – Original or Espresso 375g ea,11.99,$3.46 per 100g,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/nescaf-blend-43-instant-coffee-original-or-espress/
Prince 3 in 1 Shower Gel 1L ea,2.99,30c per 100ml,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/prince-3-in-1-shower-gel-1l/
South of Somewhere Pale Ale 6 x 330ml 6pk,9.99,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/south-of-somewhere-pale-ale-6-x-330ml-4/
"Coraggioso Nero D’Avola Sicily, Italy 750ml ",4.99,,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/coraggioso-nero-davola-sicily-italy-750ml/
Mamia Organic Fruit 4 months+ 120g ea,99.0,83c per 100g,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/mamia-organic-fruit-4-months-120g-3/
Colway Squeezy Mayonnaise 475g/535g ea,1.99,42c/37c per 100g,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/colway-squeezy-mayonnaise-475g535g/
Juliet Body Shower Gel 1L ea,2.99,30c per 100ml,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/juliet-body-shower-gel-1l/
LACURA® Renew Q10 Face Cream 50ml ,6.99,$13.98 per 100ml,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/lacura-renew-q10-face-cream-50ml/
LACURA® Revitalise Mature Skin Serum 50ml ,6.99,$13.98 per 100ml,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/lacura-revitalise-mature-skin-serum-50ml/
Hammerhead Seltzer Passionfruit & Ginger or Strawberry & Lime 4 x 330ml ea,9.99,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/hammerhead-seltzer-passionfruit-ginger-or-strawber/
Velvet Petal Organic Rosé 2020 750ml ,11.99,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/velvet-petal-organic-ros-2020-750ml/
LACURA® Revitalise Face Cream for Mature Skin 50ml ea,6.99,$13.98 per 100ml,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/lacura-revitalise-face-cream-for-mature-skin-50ml/
Tricare Instant Hand Sanitiser 250ml ,2.99,$1.20 per 100ml,Super Savers,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/tricare-instant-hand-sanitiser-250ml-2/
VOK Pina Colada 2L Cask ,19.99,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/vok-pina-colada-2l-cask/
El Toro Macho Superior Organico 2019 750ml ,6.99,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/el-toro-macho-superior-organico-2019-750ml/
Garden Gangsta Central Ranges Shiraz 2018 or Cabernet Sauvignon 2018 750ml ea,9.99,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/garden-gangsta-central-ranges-shiraz-2018-or-caber/
VOK Mojito 2L Cask ,19.99,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/vok-mojito-2l-cask/
South of Somewhere Pale Ale 24 x 330ml 24pk,39.95,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/south-of-somewhere-pale-ale-24-x-330ml-4/
Le Bio Balthazar Minervois 2019 750ml ,9.99,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/le-bio-balthazar-minervois-2019-750ml/
Tavernello Organico Sangiovese Rubicone 2019 or Greciano Pinot Grigio 2020 750ml ea,6.99,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/tavernello-organico-sangiovese-rubicone-2019-or-gr/
El Miracle Red No. 1 2018 750ml ,11.99,,Special Buys Liquor,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/el-miracle-red-no-1-2018-750ml/
