Product Name,Price,Unit Price,Aldi Category,URL
Men’s Long Sleeve Tee ea,8.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-long-sleeve-tee-1/
Women's Dove Antiperspirant Deodorant 2 x 147g 2pk,6.99,$2.38 per 100g,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/womens-dove-antiperspirant-deodorant-2-x-147g/
Men’s Black Stretch Denim Jeans ,16.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-black-stretch-denim-jeans/
Vaseline Body Lotion Deep Restore 750ml ,6.99,93c per 100ml,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/vaseline-body-lotion-deep-restore-750ml/
Dove Daily Moisture Conditoner 640ml ,5.99,94c per 100ml,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/dove-daily-moisture-conditoner-640ml/
Men’s Casual Shoes pr,24.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-casual-shoes-7/
Men's Dove Antiperspirant Deodorant 2 x 147g ,6.99,$2.38 per 100g,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-dove-antiperspirant-deodorant-2-x-147g/
Men’s Jogger Pants ea,14.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-jogger-pants-3/
Men’s French Rib Top ea,14.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-french-rib-top-4/
Men’s Puffer Vest ,19.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-puffer-vest-5/
Men’s Waffle Thermal Top ea,9.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-waffle-thermal-top-2/
Men’s Premium Slipper Boots pr,29.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-premium-slipper-boots-2/
Men’s Waffle Thermal Leggings ea,9.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-waffle-thermal-leggings-2/
Men’s Low Cut or Sports Crew Socks 3pk 3pk,3.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-low-cut-or-sports-crew-socks-3pk/
"58"" 4K Ultra HD Smart TV powered by WebOS ",569.0,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/58-4k-ultra-hd-smart-tv-powered-by-webos/
Men’s Sweat Hoodie ea,14.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-sweat-hoodie-2/
Men’s Sweat Top ea,12.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-sweat-top-1/
Low Profile TV Bracket ,29.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/low-profile-tv-bracket/
Men’s Business or Novelty Socks 3pk 3pk,3.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-business-or-novelty-socks-3pk/
Indoor Antenna ,29.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/indoor-antenna-4/
8-Way Surge Protector Powerboard ea,24.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/8-way-surge-protector-powerboard-6/
Restoring Coconut Dove Bodywash 1L ,6.99,70c per 100ml,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/restoring-coconut-dove-bodywash-1l/
2.1 Channel Soundbar with Built-in Subwoofer ea,129.0,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/21-channel-soundbar-with-built-in-subwoofer-1/
Men’s Corduroy Jacket ea,29.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-corduroy-jacket/
Almat Laundry Powder Concentrate 2kg ea,4.99,$2.50 per kg,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/almat-laundry-powder-concentrate-2kg-2/
"42"" Soniq Android TV ",319.0,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/42-soniq-android-tv/
Trimat Advanced Laundry Liquid 2L – Sensitive 2L,7.99,$4 per litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/trimat-advanced-laundry-liquid-2l-sensitive/
Trimat Advanced Laundry Liquid 2L – Regular 2L,7.99,$4 per litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/trimat-advanced-laundry-liquid-2l-regular/
Men’s Sweat Pants ea,12.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-sweat-pants-1/
8 Camera Home Security System with DVR ,299.0,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/8-camera-home-security-system-with-dvr-4/
Men’s Blue Stretch Denim Jeans ,16.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-blue-stretch-denim-jeans/
Almat Laundry Liquid Concentrate 2L ea,4.99,$2.50 per litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/almat-laundry-liquid-concentrate-2l/
Men's Trunks 3pk or Long Trunks 3pk 3pk,9.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-trunks-3pk-or-long-trunks-3pk/
Vaseline Body Lotion Aloe Soothe 750ml ,6.99,93c per 100ml,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/vaseline-body-lotion-aloe-soothe-750ml/
Men’s Briefs 5pk 5pk,9.99,,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/mens-briefs-5pk-13/
Di San Laundry Sanitiser 1L ,3.69,$3.69 per Litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/di-san-laundry-sanitiser-1l-1/
Di-San Pre Wash Stain Remover 500ml 500ml,1.29,$2.58 per litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/di-san-pre-wash-stain-remover-500ml-2/
Di San Pre Wash Stain Remover 500ml – Degreaser ,,,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/di-san-pre-wash-stain-remover-500ml-degreaser-2/
Green Action Laundry Liquid 1L ,1.99,$1.99 per litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/green-action-laundry-liquid-1l-1/
Logix Platinum Dishwashing Tablets 40pk ,7.69,19c per tablet,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/logix-platinum-dishwashing-tablets-40pk-1/
Anco Soft Fabric Softener 2L ea,2.79,$1.40 per Litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/anco-soft-fabric-softener-2l-1/
Power Force Anti Bac Plus Surface Spray Disinfectant 300g ,3.69,$1.23 per 100g,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-anti-bac-plus-surface-spray-disinfecta-2/
Anco Soft Fabric Softener 4x Concentrate 1L ,3.59,$3.59 per litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/anco-soft-fabric-softener-4x-concentrate-1l-1/
Anco Soft Fabric Softener Concentrate 250ml ea,99.0,$3.96 per Litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/anco-soft-fabric-softener-concentrate-250ml-1/
Atlas Kill & Protect High Performance Surface & Cockroach Spray 350g ,2.69,77c per 100g,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/atlas-kill-protect-high-performance-surface-cockro/
Green Action Wool Wash 1L ,1.99,$1.99 per litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/green-action-wool-wash-1l-1/
Confidence Samson Paper Towel 3ply 3pk ,2.99,$1.66 per 100 sheets ($1.00 per roll),Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/confidence-samson-paper-towel-3ply-3pk-1/
Logix Complete Dishwashing Tablets 30pk ,4.29,14c per tablet,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/logix-complete-dishwashing-tablets-30pk-1/
MAMIA® Unisex Crawler Nappies 6kg-11kg 56pk 56pk,9.99,18c per nappy,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-crawler-nappies-6kg-11kg-56pk/
MAMIA® Unisex Infant Nappies 4kg-8kg 56pk 56pk,9.99,18c per nappy,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-infant-nappies-4kg-8kg-56pk/
Power Force Gel Toilet Discs 75ml ,4.99,$6.65 per 100ml,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-gel-toilet-discs-75ml-1/
Power Force Pro Bath & Shower Cleaner 750ml ,2.39,32c per 100ml,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-pro-bath-shower-cleaner-750ml-2/
MAMIA® Unisex Toddler Nappies 10kg-15kg 50pk 50pk,9.99,20c per nappy,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-toddler-nappies-10kg-15kg-50pk/
MAMIA® Unisex Newborn Nappies ,3.99,14c per nappy,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-newborn-nappies/
Power Force Pro Disinfectant Wipes 120pk ,2.99,$2.50 per 100 wipes,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-pro-disinfectant-wipes-120pk/
Power Force Pro Multi Purpose Cleaner 750ml ,1.79,24c per 100ml,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-pro-multi-purpose-cleaner-750ml-1/
Laundrite Laundry Liquid 2L ,1.49,0.75c per Litre,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/laundrite-laundry-liquid-2l-3/
Laundrite Laundry Powder 4kg ,3.69,0.92c per kg,Household,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/laundrite-laundry-powder-4kg-1/
Tandil Ultra Dishwashing Liquid 450ml ,1.59,35c per 100ml,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/tandil-ultra-dishwashing-liquid-450ml-2/
Power Force Pro Heavy Duty Cleaner 1.25L ,2.19,18c per 100ml,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-pro-heavy-duty-cleaner-125l-1/
Atlas Kill & Protect Fast Knockdown Flying Insect Spray 300g ,2.39,80c per 100g,Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/atlas-kill-protect-fast-knockdown-flying-insect-sp-1/
MAMIA® Unisex Walker Nappies 13kg-18kg 44pk 44pk,9.99,23c per nappy,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-walker-nappies-13kg-18kg-44pk/
Confidence Toilet Tissue Hypoallgerenic 4ply 8pk ,3.99,36c per 100 sheets (50c per roll),Household,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/confidence-toilet-tissue-hypoallgerenic-4ply-8pk/
Mamia Baby Wipes 80pk Scented ,1.89,$2.36 per 100 wipes,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-80pk-scented-1/
Mamia Baby Wipes 480pk Fragance free ,8.99,$1.87 per 100 wipes,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-480pk-fragance-free/
Mamia Premium Baby Wipes Fragrance Free 240pk ,7.69,$3.20 per 100 wipes,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-premium-baby-wipes-fragrance-free-240pk-1/
Mamia Baby Wipes 80pk Fragrance Free ,1.89,$2.36 per 100 wipes,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-80pk-fragrance-free/
Mamia Baby’s First Breakfast 6mth+ Porridge ,89.0,74c per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-babys-first-breakfast-6mth-porridge/
Mamia Baby Wipes Embossed Fragrance Free 80pk ,2.69,$3.36 per 100 wipes,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-embossed-fragrance-free-80pk/
MAMIA® Unisex Junior Nappies 16kg-25kg 40pk 40pk,9.99,25c per nappy,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-junior-nappies-16kg-25kg-40pk/
Mamia Baby Food 6 Months+ 120g ea,89.0,74c per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-baby-food-6-months-120g/
Mamia Baby Wipes Embossed Scented 80pk ,2.69,$3.36 per 100 wipes,Baby,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-embossed-scented-80pk/
Mamia Baby Fruit 4 Months+ 120g 120g,89.0,74c per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-baby-fruit-4-months-120g/
Mamia Fruit Snack Cereal Bars Apple & Raspberry 12+ months 8pk 128g 8pk,2.79,$2.18 per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-fruit-snack-cereal-bars-apple-raspberry-12-m/
Mamia Fruit & Oat Bars 90g - Apple & Raisin with Yogurt 12+ Months ,2.99,$3.32 per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-fruit-oat-bars-90g-apple-raisin-with-yogurt/
Mamia Premium Baby Food 6+ Months 120g ea,89.0,74c per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-premium-baby-food-6-months-120g/
Mamia Organic Apple Mini Rice Cakes 40g ,2.49,$6.23 per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-organic-apple-mini-rice-cakes-40g/
Mamia Baby’s First Breakfast 6mth+ Muesli ,89.0,74c per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-babys-first-breakfast-6mth-muesli/
Mamia Baby Food Desserts 6 Months+ 120g ea,89.0,74c per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-baby-food-desserts-6-months-120g/
Mamia Fruit Snack Cereal Bars Apple 12+ months 8pk 128g 8pk,2.79,$2.18 per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-fruit-snack-cereal-bars-apple-12-months-8pk/
Mamia Organic Raspberry Mini Rice Cakes 40g ,2.49,$6.23 per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-organic-raspberry-mini-rice-cakes-40g/
Mamia Infant Formula Toddler Step 3 900g ,12.99,$1.44 per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-infant-formula-toddler-step-3-900g/
"Mamia Fruit Snack Cereal Bars Apple, Blueberry & Banana 12+ months 8pk 128g 8pk",2.79,$2.18 per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-fruit-snack-cereal-bars-apple-blueberry-bana/
Mamia Fruit & Oat Bars 90g - Strawberry 12+ Months ,2.99,$3.32 per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-fruit-oat-bars-90g-strawberry-12-months/
Mamia Fruit & Oat Bars 90g - Apricot 12+ Months ,2.99,$3.32 per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-fruit-oat-bars-90g-apricot-12-months/
Mamia Organic Fruit 4 months+ 120g ea,1.29,$1.08 per 100g,Baby,https://www.aldi.com.au/en/groceries/baby/baby-food/baby-food-detail/ps/p/mamia-organic-fruit-4-months-120g-2/
Slimline Storage Drawers ,69.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/slimline-storage-drawers-1/
Knitting Tote Bag or Needles 10pk ea,19.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/knitting-tote-bag-or-needles-10pk/
Fabric Fat Quarters 6pk ea,6.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/fabric-fat-quarters-6pk-3/
Hobby Sewing Table ,99.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/hobby-sewing-table-3/
Sewing Thread 500m 3pk or Overlocker Thread 2000m ea,99.0,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/sewing-thread-500m-3pk-or-overlocker-thread-2000m-1/
Baby Knitting Yarn 8ply 100g ea,1.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/baby-knitting-yarn-8ply-100g/
Craft Cutting Tools ea,4.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/craft-cutting-tools-2/
Assorted Haberdashery ea,99.0,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/assorted-haberdashery/
Craft Cutting Mat ea,4.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/craft-cutting-mat-2/
Sewing Machine ,99.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/sewing-machine-3/
Magnified Task Lamp ,49.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/magnified-task-lamp-6/
Sewing Machine Bag ,39.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/sewing-machine-bag-4/
Sewing Basket ea,24.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/sewing-basket-7/
Long Stitch or Embroidery Kit ea,6.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/long-stitch-or-embroidery-kit/
Acrylic Knitting Yarn 8ply 100g ea,1.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/acrylic-knitting-yarn-8ply-100g-3/
Facial Steamer ,39.99,,Special Buys Sat 1 May,https://www.aldi.com.au/en/special-buys/special-buys-sat-1-may/saturday-detail-wk17/ps/p/facial-steamer/
