Brand_Product_Size,Brand_x,Brand_y,COL Price,WOW Price,COL ppu,WOW ppu
Double Phoenix Bean Vermicelli Noodles 200g,Double,double phoenix,1.4,1.4,$0.70 per 100G,$0.70 / 100G
Dr. Oetker Papa Giuseppis Rising Stuffed Crust Supreme Pizza 525g,Dr.Oetker,dr. oetker,6.0,8.0,$1.14 per 100G,$1.52 / 100G
Easy-off Bam Oven Cleaner Heavy Duty 325g,Easy Off Bam,easy-off bam,3.5,3.5,$1.08 per 100G,$1.08 / 100G
Eclipse Intense Mints Sugar Free Large Tin 40g,Wrigley's,eclipse,3.0,3.0,$7.50 per 100G,$7.50 / 100G
Eclipse Peppermint Mints Sugar Free Large Tin 40g,Wrigley's,eclipse,3.0,3.0,$7.50 per 100G,$7.50 / 100G
Eclipse Spearmint Mints Sugar Free Large Tin 40g,Wrigley's,eclipse,3.0,3.0,$7.50 per 100G,$7.50 / 100G
Eclipse Strawberry Mints Sugar Free Large Tin 40g,Wrigley's,eclipse,3.0,3.0,$7.50 per 100G,$7.50 / 100G
Elmer's Clear Glue 147mL,Elmers,elmer's,7.0,4.9,$4.76 per 100mL,
Elmer's School Glue 225mL,Elmers,elmer's,6.0,4.2,$2.67 per 100mL,
Espressotoria Coffee Capsules Caffe Aurora Espresso 12 pack,Caffe Aurora,espressotoria,5.6,5.6,$0.47 per 1Ea,$0.47 / 1EA
Extra Soft Chew White Peppermint Chewing Gum Sugar Free Bottle 67g,Wrigley's,extra,4.0,4.0,$5.97 per 100G,$5.97 / 100G
Extra Soft Chew White Spearmint Chewing Gum Sugar Free Bottle 67g,Wrigley's,extra,4.0,4.0,$5.97 per 100G,$5.97 / 100G
Farmhouse Gold Custard Vanilla 800g,Pauls,farmhouse gold,4.0,5.0,$0.50 per 100G,$0.63 / 100G
Farrows Giant Marrowfat Peas 300g,Farrow's,farrows,2.0,2.0,$6.67 per 1Kg,$0.67 / 100G
Fever Tree Mediterranean Tonic Water 500mL,Fever-Tree,fever tree,4.0,4.0,$8.00 per 1L,$8.00 / 1L
Fisiocrem Solugel 120g,Fisiocrem,,22.0,22.0,$18.33 per 100G,$18.33 / 100G
Fisiocrem Solugel 250g,Fisiocrem,,28.0,35.0,$11.20 per 100G,$14.00 / 100G
Five:am Organic Honey & Cinnamon Yoghurt 700g,Five:AM,five:am organic,6.0,6.0,$0.86 per 100G,$0.86 / 100G
Five:am Organic Salted Caramel Yoghurt 700g,Five Am,five:am,6.0,6.0,$0.86 per 100G,$0.86 / 100G
Fodmapped For You Simmer Sauce Green Curry 200g,Fodmapped,fodmapped for you,4.0,5.0,$2.00 per 100G,$2.50 / 100G
Forrelli Salt & Vinegar Rice Cracker 100g,Forelli,forrelli,2.65,2.65,$2.65 per 100G,$2.65 / 100G
French's Classic Yellow Mustard 226g,French's,,2.8,2.8,$1.24 per 100G,$1.24 / 100G
Fromager D'affinois Petit D Affinois 150g,Fromager D'affiniois,fromager d'affinois,10.0,12.0,$66.67 per 1Kg,$80.00 / 1KG
"Fussy Cat Grain Free Beef, Kangaroo & Sweet Potato Wet Cat Food 400g",V.I.P.,fussy cat,1.8,1.8,$0.45 per 100G,$0.45 / 100G
Fussy Cat Grain Free Cat Food Beef & Kangaroo With Sweet Potato 85g,V.I.P.,fussy cat,1.2,1.19,$1.41 per 100G,$1.40 / 100G
Fussy Cat Grain Free Cat Food Chicken & Turkey With Cranberry 85g,V.I.P.,fussy cat,1.2,1.19,$1.41 per 100G,$1.40 / 100G
Fussy Cat Grain Free Chicken & Turkey With Cranberry Wet Cat Food 400g,V.I.P.,fussy cat,1.8,1.8,$0.45 per 100G,$0.45 / 100G
Garlo's Beef & Mushroom Pie 200g,Garlos,garlo's,4.5,4.5,$2.25 per 100G,$2.25 / 100G
Garlo's Chicken Breast Pie 200g,Garlos,garlo's,4.5,4.5,$2.25 per 100G,$2.25 / 100G
Garlo's Curry Beef Pie 200g,Garlos,garlo's,4.0,4.0,$2.00 per 100G,$2.00 / 100G
Garlo's Family Pie Lean Beef 550g,Garlos,garlo's,9.95,9.95,$1.81 per 100G,$1.81 / 100G
Garlo's Junior Beef Sausage Rolls 12 pack,Garlos,garlo's,10.95,10.95,$1.40 per 100G,$1.40 / 100G
Garlo's Lean Beef Pie 200g,Garlos,garlo's,4.0,4.0,$2.00 per 100G,$2.00 / 100G
Garlo's Satay Chicken Pie 200g,Garlos,garlo's,4.5,4.5,$2.25 per 100G,$2.25 / 100G
Garlo's Spinach & Fetta Roll 180g,Garlos,garlo's,4.0,4.0,$2.22 per 100G,$2.22 / 100G
Gippsland Dairy Twist Blueberry Yoghurt 720g,Gippsland Dairy,gippsland,5.5,7.0,$0.76 per 100G,$0.97 / 100G
Gippsland Dairy Twist Passionfruit Yoghurt 720g,Gippsland Dairy,gippsland,5.5,7.0,$0.76 per 100G,$0.97 / 100G
Gippsland Dairy Twist Smooth & Creamy Plain Yoghurt 720g,Gippsland Dairy,gippsland,5.5,7.0,$0.76 per 100G,$0.97 / 100G
Gippsland Twist Mango & Blood Orange Yoghurt 160g,Gippsland Dairy,gippsland,2.5,2.0,$1.56 per 100G,$1.25 / 100G
Gippsland Twist Mango & Blood Orange Yoghurt 720g,Gippsland Dairy,gippsland,5.5,7.0,$0.76 per 100G,$0.97 / 100G
Gippsland Twist Toffee Honeycomb Yoghurt 160g,Gippsland Dairy,gippsland,2.5,2.0,$1.56 per 100G,$1.25 / 100G
Gippsland Twist Watermelon & Strawberry Yoghurt 160g,Gippsland Dairy,gippsland,2.5,2.0,$1.56 per 100G,$1.25 / 100G
Glad To Be Green 95% Recycled Kitchen Tidy Bags Medium 28 pack,Glad To Be,glad,3.6,4.5,,$0.16 / 1EA
Glad To Be Green 95% Recycled Kitchen Tidy Bags Small 34 pack,Glad To Be,glad,3.6,4.5,,$0.13 / 1EA
Gold Medal Snacks Pork Krackles Chilli 50g,Gold Medal,gold medal snacks,2.15,2.15,$4.30 per 100G,$4.30 / 100G
Golden Crumpet Toast 700g,Tip Top,golden,5.0,2.5,$0.71 per 100G,$0.36 / 100G
