SKU,Brand_Product_Size,Brand,Product Name,COL Price,COL ppu,COL Size,COL Specials,COL Category,Product URL
3674689P,Lewis & Son Pickled Cucumbers 1kg,Lewis & Son,Pickled Cucumbers,17.0,$1.70 per 100G,1kg,,From Deli,https://shop.coles.com.au/a/national/product/lewis-son-pickled-cucumbers
5554156P,Coles Deli Giant Pitted Kalamata Olives approx. 125g,Coles Deli,Giant Pitted Kalamata Olives,2.5,$20.00 per 1Kg,approx. 125g,,From Deli,https://shop.coles.com.au/a/national/product/olives-kalamata-pitted-giant
3830977P,Coles Seashore Royale Platter each,Coles,Seashore Royale Platter,55.0,$55.00 per 1Ea,each,,From Deli,https://shop.coles.com.au/a/national/product/coles-platter-seashore-royale
3767542P,Paesanella Bocconcini Cheese 210g,Paesanella,Bocconcini Cheese,5.5,$26.19 per 1Kg,210g,,From Deli,https://shop.coles.com.au/a/national/product/paesanella-chese-bocconcini
1017756P,Coles Deli Thawed Seafood Highlighter approx. 250g,Coles Deli,Thawed Seafood Highlighter,1.375,$5.50 per 1Kg,approx. 250g,Specials,From Deli,https://shop.coles.com.au/a/national/product/coles-seafood-highlighter-frozen
3674747P,Lewis & Son Fermented Carrot With Chilli 500g,Lewis & Son,Fermented Carrot With Chilli,13.25,$2.65 per 100G,500g,,From Deli,https://shop.coles.com.au/a/national/product/lewis-son-fermented-carrot-with-chilli
3674678P,Lewis & Son Kimchi 500g,Lewis & Son,Kimchi,13.25,$2.65 per 100G,500g,,From Deli,https://shop.coles.com.au/a/national/product/lewis-son-kimchi
3067824P,Coles Deli Green Olives with Chilli Garlic approx. 125g,Coles Deli,Green Olives with Chilli Garlic,2.5,$20.00 per 1Kg,approx. 125g,,From Deli,https://shop.coles.com.au/a/national/product/coles-deli--green-olives-with-chilli-garlic
3609960P,Deli Express Grilled Eggplant 150g,Deli Express,Grilled Eggplant,5.0,$3.33 per 100G,150g,,From Deli,https://shop.coles.com.au/a/national/product/coles-skinpack-grilled-eggplant
3674769P,Lewis & Son Fennel Kraut 500g,Lewis & Son,Fennel Kraut,12.5,$2.50 per 100G,500g,,From Deli,https://shop.coles.com.au/a/national/product/lewis-son-fennel-kraut
3609938P,Deli Express Grilled Zucchini 140g,Deli Express,Grilled Zucchini,5.0,$3.57 per 100G,140g,,From Deli,https://shop.coles.com.au/a/national/product/coles-skinpack-grilled-zucchini
3830751P,Coles Wraps Platter Meatlovers each,Coles,Wraps Platter Meatlovers,35.0,$35.00 per 1Ea,each,,From Deli,https://shop.coles.com.au/a/national/product/coles-platter-wraps-meatlovers
3829796P,Coles Platter Snackers each,Coles,Platter Snackers,12.0,$12.00 per 1Ea,each,,From Deli,https://shop.coles.com.au/a/national/product/coles-platter-snackers-delight
3674690P,Lewis & Son Sweet N Sauerkraut 500g,Lewis & Son,Sweet N Sauerkraut,13.25,$2.65 per 100G,500g,,From Deli,https://shop.coles.com.au/a/national/product/lewis-son-swet-n-sauerkraut
3965568P,Mount Zero Egyptian Dukkah 100g,Mount,Zero Egyptian Dukkah,10.0,$10.00 per 100G,100g,,From Deli,https://shop.coles.com.au/a/national/product/zero-egyptian-dukkah
3674805P,Lewis & Son Green Olives 400g,Lewis & Son,Green Olives,9.75,$2.44 per 100G,400g,,From Deli,https://shop.coles.com.au/a/national/product/lewis-son-gren-olives
